"","Name","League","Facebook","Instagram","Twitter","Youtube","TikTok","Weibo","Total_Followers","Rank","Market_Value","Change.vs.October.2020","Selected.currency","Current.club..20.21.season.","Current.league..20.21.season.","Nationality","Position","Age","Height..cm.","Preferred.foot","Intl..caps","Intl..goals","End.of.contract","On.loan.from..parent.club.","Agent"
"1","Alphonso Davies","Bundesliga I",20815,2896869,216209,NA,2300000,NA,5433893,25,84.8,-3.92962922554862,"EUR (€)","FC Bayern München","Bundesliga","Canada","Left-back",20.28,181,"left",17,5,"2025-06-30 00:00:00","","ATG Sports Management"
"2","Cristiano Ronaldo","Serie A",123280026,239663806,88318663,1624165,NA,7200882,460087542,57,63.2,-5.42521076347317,"EUR (€)","Juventus FC","Serie A","Portugal","Left winger",36.02,187,"both",168,102,"2022-06-30 00:00:00","","Gestifute"
"3","Eden Hazard","La Liga",10120064,27343908,6989911,NA,NA,NA,44453883,63,61.7,-15.8051620189885,"EUR (€)","Real Madrid CF","La Liga","Belgium","Left winger",30.1,173,"both",106,32,"2024-06-30 00:00:00","","Thierry Hazard"
"4","Hakim Ziyech","Premier League",372720,3805779,1128,NA,NA,NA,4179627,65,60.4,-5.94841691697989,"EUR (€)","Chelsea FC","Premier League","Morocco","Right winger",27.9,180,"left",35,16,"2025-06-30 00:00:00","","Nakhli Mondial"
"5","Harry Kane","Premier League",1996775,9862581,2979114,NA,NA,3145990,17984460,5,124,3.99198827433031,"EUR (€)","Tottenham Hotspur FC","Premier League","England","Forward",27.54,188,"right",48,32,"2024-06-30 00:00:00","","CK66"
"6","Jadon Sancho","Bundesliga I",261660,5082182,487415,NA,NA,NA,5831257,3,130,-5,"EUR (€)","Borussia Dortmund","Bundesliga","England","Right winger",20.88,NA,"right",18,3,"2023-06-30 00:00:00","","Elite Project Group Ltd."
"7","Kylian Mbappé","Ligue 1",2734693,43705643,5238881,173855,NA,NA,51853072,1,200,0,"EUR (€)","Paris Saint-Germain FC","Ligue 1","France","Left winger",22.15,178,"right",39,16,"2022-06-30 00:00:00","","Wilfried Mbappé"
"8","Lionel Messi","La Liga",90561704,183300351,NA,910000,NA,6580711,281352766,12,101.3,-12.5884947437009,"EUR (€)","FC Barcelona","La Liga","Argentina","Right winger",33.64,170,"left",140,71,"2021-06-30 00:00:00","","Jorge Horacio Messi"
"9","Mohamed Salah","Premier League",12716681,40512019,13130080,NA,NA,NA,66358780,6,122.2,-2.76300760079221,"EUR (€)","Liverpool FC","Premier League","Egypt","Right winger",28.66,175,"left",67,41,"2023-06-30 00:00:00","","Ramy Abbas Issa"
"10","Neymar","Ligue 1",59785933,142609723,49932221,2260000,9500000,6237223,270325100,4,125,-5.20238557956009,"EUR (€)","Paris Saint-Germain FC","Ligue 1","Brazil","Left winger",29.02,175,"right",103,64,"2022-06-30 00:00:00","","Neymar Sr."
"11","Paul Pogba","Premier League",7820781,41790893,7827686,NA,NA,4617427,62056787,91,52,2.36356081695109,"EUR (€)","Manchester United FC","Premier League","France","Central midfielder",27.91,191,"both",74,10,"2022-06-30 00:00:00","","Mino Raiola"
"12","Robert Lewandowski","Bundesliga I",9605539,19587626,1424980,13949,3600000,NA,34232094,33,77.9,-3.26288995948555,"EUR (€)","FC Bayern München","Bundesliga","Poland","Forward",32.48,NA,"right",116,63,"2023-06-30 00:00:00","","Pinhas Zahavi"
"13","Vinícius Júnior","La Liga",811793,0,1904899,NA,2200000,NA,4916692,70,58.6,5.55448418887324,"EUR (€)","Real Madrid CF","La Liga","Brazil","Left winger",20.59,177,"right",1,0,"2025-06-30 00:00:00","","TFM Agency"
