Name,_,_,Sport,League,Facebook,Instagram,Twitter,Youtube,TikTok,Weibo,Total
Cristiano Ronaldo,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,Football,Serie A,123280026,239663806,88318663,1624165,,7200882,460087542
Lionel Messi,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,Football,La Liga,90561704,183300351,,910000,,6580711,281352766
Neymar,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,Football,Ligue 1,59785933,142609723,49932221,2260000,9500000,6237223,270325100
Andrés Iniesta,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,Football,J1 League,25980480,35048502,24964652,,,,85993634
Mesut Özil,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,Football,Premier League,30989577,22216571,25030589,137696,385,4004691,82379509
Zlatan Ibrahimovic,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/se.png,Football,Serie A,26050518,44669845,6908028,,,,77628391
Mohamed Salah,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/eg.png,Football,Premier League,12716681,40512019,13130080,,,,66358780
Paul Pogba,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,Football,Premier League,7820781,41790893,7827686,,,4617427,62056787
Kylian Mbappé,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,Football,Ligue 1,2734693,43705643,5238881,173855,,,51853072
Sergio Agüero,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,Football,Premier League,10929012,14638824,13722267,2120000,,4617565,46027668
Eden Hazard,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,Football,La Liga,10120064,27343908,6989911,,,,44453883
Robert Lewandowski,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/pl.png,Football,Bundesliga I,9605539,19587626,1424980,13949,3600000,,34232094
Harry Kane,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,Football,Premier League,1996775,9862581,2979114,,,3145990,17984460
Ander Herrera,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,Football,Ligue 1,1116965,3948431,2744429,,,,7809825
Alexis Sánchez,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/cl.png,Football,Serie A,4860692,0,2926728,18500,,,7805920
Aaron Ramsey,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/Wales.png,Football,Serie A,4462940,0,3243459,,,,7706399
Jadon Sancho,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,Football,Bundesliga I,261660,5082182,487415,,,,5831257
Alphonso Davies,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ca.png,Football,Bundesliga I,20815,2896869,216209,,2300000,,5433893
Vinícius Júnior,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,Football,La Liga,811793,0,1904899,,2200000,,4916692
Edin Dzeko,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ba.png,Football,Serie A,2689294,0,1512176,,,,4201470
Hakim Ziyech,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/ma.png,Football,Premier League,372720,3805779,1128,,,,4179627
Gianluigi Donnarumma,https://www.footballbenchmark.com/documents/images/Social_Media/player_general.png,https://www.footballbenchmark.com/documents/images/Flags/it.png,Football,Serie A,659224,1815893,144006,,,,2619123
